,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1718,Manchester Utd,Antonio Valencia,ECU,DF,31,1985,30.4,3,16,3,18.8,0.53,0.1,0.19,1.0,21.4,0,0,0,0.5,0.5,0.03,2.5,2.5
ENG-Premier League,1718,Manchester Utd,Ashley Young,ENG,DF,32,1985,27.1,2,18,4,22.2,0.66,0.15,0.11,0.5,21.9,3,0,0,0.8,0.8,0.04,1.2,1.2
ENG-Premier League,1718,Manchester Utd,Axel Tuanzebe,COD,FW,19,1997,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Manchester Utd,Chris Smalling,ENG,DF,27,1989,28.2,4,13,6,46.2,0.46,0.21,0.31,0.67,8.5,0,0,0,1.7,1.7,0.13,2.3,2.3
ENG-Premier League,1718,Manchester Utd,Daley Blind,NED,"DF,MF",27,1990,4.0,0,3,0,0.0,0.75,0.0,0.0,,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,1718,Manchester Utd,David de Gea,ESP,GK,26,1990,37.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Manchester Utd,Eric Bailly,CIV,DF,23,1994,11.1,1,3,1,33.3,0.27,0.09,0.33,1.0,4.9,0,0,0,1.1,1.1,0.37,-0.1,-0.1
ENG-Premier League,1718,Manchester Utd,Henrikh Mkhitaryan,ARM,"MF,FW",28,1989,10.2,1,15,5,33.3,1.46,0.49,0.07,0.2,21.6,0,0,0,0.8,0.8,0.05,0.2,0.2
ENG-Premier League,1718,Manchester Utd,Jesse Lingard,ENG,"MF,FW",24,1992,20.2,8,56,23,41.1,2.77,1.14,0.14,0.35,17.8,0,0,0,7.1,7.1,0.13,0.9,0.9
ENG-Premier League,1718,Manchester Utd,Juan Mata,ESP,FW,29,1988,21.4,3,28,10,35.7,1.31,0.47,0.11,0.3,17.6,4,0,0,3.7,3.7,0.13,-0.7,-0.7
ENG-Premier League,1718,Manchester Utd,Luke Shaw,ENG,DF,22,1995,8.8,0,12,5,41.7,1.37,0.57,0.0,0.0,21.4,0,0,0,0.4,0.4,0.03,-0.4,-0.4
ENG-Premier League,1718,Manchester Utd,Marcos Rojo,ARG,DF,27,1990,7.1,0,5,1,20.0,0.7,0.14,0.0,0.0,27.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2
ENG-Premier League,1718,Manchester Utd,Marcus Rashford,ENG,"FW,MF",19,1997,20.1,7,61,20,32.8,3.03,0.99,0.11,0.35,19.4,6,0,0,5.2,5.2,0.09,1.8,1.8
ENG-Premier League,1718,Manchester Utd,Marouane Fellaini,BEL,MF,29,1987,6.9,4,10,7,70.0,1.45,1.01,0.4,0.57,8.5,0,0,0,3.5,3.5,0.35,0.5,0.5
ENG-Premier League,1718,Manchester Utd,Matteo Darmian,ITA,DF,27,1989,4.9,0,2,0,0.0,0.41,0.0,0.0,,31.7,0,0,0,0.0,0.0,0.01,0.0,0.0
ENG-Premier League,1718,Manchester Utd,Michael Carrick,ENG,MF,36,1981,1.2,0,2,1,50.0,1.65,0.83,0.0,0.0,14.7,0,0,0,0.5,0.5,0.26,-0.5,-0.5
ENG-Premier League,1718,Manchester Utd,Nemanja Matić,SRB,MF,28,1988,34.6,1,18,2,11.1,0.52,0.06,0.06,0.5,27.0,0,0,0,0.7,0.7,0.04,0.3,0.3
ENG-Premier League,1718,Manchester Utd,Paul Pogba,FRA,MF,24,1993,23.9,6,76,18,23.7,3.18,0.75,0.08,0.33,22.2,5,0,0,7.7,7.7,0.1,-1.7,-1.7
ENG-Premier League,1718,Manchester Utd,Phil Jones,ENG,DF,25,1992,21.9,0,2,0,0.0,0.09,0.0,0.0,,18.8,0,0,0,0.4,0.4,0.21,-0.4,-0.4
ENG-Premier League,1718,Manchester Utd,Romelu Lukaku,BEL,FW,24,1993,31.9,16,85,41,48.2,2.67,1.29,0.19,0.39,13.1,3,0,1,13.2,12.4,0.15,2.8,3.6
